,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5335,7.0,0.0445,0.371043,0.36389224,0.0,0.00619483480648115,0.4496961358693939
5336,7.0,0.0442,0.645551,0.45225994,2.0,0.039300023293008565,0.5956105603267655
5337,7.0,0.0444,0.975742,0.28199906,2.0,0.03648446530711891,0.6188572566465527
5338,7.0,0.0443,5.3e-05,0.16194911,1.0,0.016347779476955364,0.4553015396211416
5339,7.0,0.045,0.225944,2.61e-06,1.0,0.004089110794289778,0.4518545700806389
5340,7.0,0.045,0.284842,0.00030113,1.0,0.0042242711904097174,0.45233840874863956
5341,7.0,0.045,0.777426,0.43049962,2.0,0.039838718603373235,0.587196253816578
5342,7.0,0.0454,0.995731,0.00235024,1.0,0.003542141038544288,0.4744480634118064
5343,7.0,0.0463,0.07221,0.01079789,2.0,0.038181093621879526,0.5650894001703637
5344,7.0,0.0464,0.186885,2.32e-06,2.0,0.050196433553890266,0.5646767254386226
5345,7.0,0.0458,0.248746,0.11321836,2.0,0.0403476081158607,0.6132580455085576
5346,7.0,0.0456,0.438883,0.0004763,1.0,0.004365473617742051,0.45046043166711813
5347,7.0,0.0472,0.199667,0.3232508,0.0,0.006591474349575171,0.4531748305382753
5348,7.0,0.0471,0.385111,0.04000102,1.0,0.011736488898363439,0.4552034574133328
5349,7.0,0.0484,0.00821,0.13193822,1.0,0.01749477998160756,0.45563999872031075
5350,7.0,0.0481,0.892469,0.44440234,0.0,0.006185114557471946,0.45200988410959253
5351,7.0,0.048,0.932417,0.01897734,2.0,0.03971457967952802,0.6822295180596988
5352,7.0,0.0494,0.114253,5.47e-06,0.0,0.002851091390448439,0.4527150278927451
5353,7.0,0.0489,0.144746,0.08235637,2.0,0.046625876913265266,0.6511748142543997
5354,7.0,0.0486,0.275169,5.975e-05,2.0,0.05725015356658843,0.5595515609298307
5355,7.0,0.0489,0.57277,0.00202258,2.0,0.052051811107046014,0.5735895717619496
5356,7.0,0.0487,0.768899,1.65e-06,2.0,0.05766389807876272,0.6644493619624062
5357,7.0,0.0496,0.229551,1.04e-05,2.0,0.06044402275419092,0.5666610352926765
5358,7.0,0.0504,0.231114,0.00088684,1.0,0.005224289073888447,0.4532555831372558
5359,7.0,0.0496,0.258857,0.29243067,2.0,0.053614146507863704,0.6114497275598976
5360,7.0,0.0499,0.279615,0.09529347,2.0,0.050596409566895914,0.6379268924093022
5361,7.0,0.0495,0.301215,0.16552782,2.0,0.052253089215248,0.6470469751232444
5362,7.0,0.0504,0.489755,9.487e-05,0.0,0.0027687361914631526,0.4513103594558807
5363,7.0,0.0508,0.037312,0.00317508,0.0,0.0035185299531363522,0.4523240905447807
5364,7.0,0.0509,0.396897,4.06e-06,1.0,0.004666131022372637,0.4531465828592907
5365,7.0,0.0514,0.430673,0.00053699,2.0,0.06426991943715261,0.5800137586080293
5366,7.0,0.0518,0.959963,0.00011722,2.0,0.341393629246481,3.7581616412597927
5367,7.0,0.0529,0.122776,1.85e-06,1.0,0.004901607947168787,0.4529681288810738
5368,7.0,0.0527,0.536992,0.07600368,1.0,0.01606157708793614,0.45620819037318977
5369,7.0,0.0526,0.537467,0.00092998,2.0,0.06634880710968814,0.5841642604010288
5370,7.0,0.0534,0.544283,0.00119032,1.0,0.005663068231966297,0.4542879862939578
5371,7.0,0.0534,0.721113,0.60659628,2.0,0.06387364690574887,0.6336618944799282
5372,7.0,0.0526,0.833021,2.314e-05,2.0,0.08284069984369302,0.8175282231345015
5373,7.0,0.0535,0.879528,0.2309094,0.0,0.005698023315073761,0.4497506730191279
5374,7.0,0.0544,0.45248,0.03941313,0.0,0.005043741565404025,0.45312181616351555
5375,7.0,0.0544,0.604075,0.00030648,0.0,0.0028946323227951524,0.4535169392833917
